data_publicacao;uf;municipio;orgao;modalidade;itens_servidor;valor_estimado;no_grupo_1bit;numero_controle_pncp;link_pncp;link_portal_origem
2025-05-13;RS;Erechim;Consorcio Publico Intermunicipal Da Regiao Do Alto Uruguai - Cirau;Pregão - Eletrônico;2;10145893,20;nao;11074898000169-1-000010/2025;https://pncp.gov.br/app/editais/11074898000169/2025/10;https://portaldecompraspublicas.com.br/processos/RS/Consorcio-Intermunicipal-da-Regiao-do-Alto-Uruguai-CIRAU-1055/RPE-001-2025-2025-387544
2025-05-13;PR;Manoel Ribas;Municipio De Manoel Ribas;Pregão - Eletrônico;1;30672,00;nao;75740811000128-1-000083/2025;https://pncp.gov.br/app/editais/75740811000128/2025/83;https://bllcompras.com/Process/ProcessView?param1=[gkz]vn4rgYtfoeaatoBv_Da7gH1mVc8xWlPRyogUwCRPkjlhJzGrE92EDe686hy8h/1hPqim5uPkJ5R/YEyb697QHh6OBqO9DSJNZJF8HP1gFQU=
2025-05-12;PR;Missal;Municipio De Missal;Pregão - Eletrônico;1;164697,33;nao;78101847000150-1-000089/2025;https://pncp.gov.br/app/editais/78101847000150/2025/89;https://bllcompras.com/Process/ProcessView?param1=[gkz]C7OxfIVB7XbbjDg8pwHODW3YLinCWxhS6XgS5DkhYyXKi56idWo5eLTSnKCVyvN6LfwbFvT0NhCrgHzHufj9XHwQqYzauI6Mq67zye7IeeQ=
2025-05-08;MG;Cordisburgo;Municipio De Cordisburgo;Pregão - Eletrônico;1;18428,75;sim;18116137000171-1-000113/2025;https://pncp.gov.br/app/editais/18116137000171/2025/113;
2025-05-03;RS;São José Do Inhacorá;Municipio De Sao Jose Do Inhacora;Pregão - Eletrônico;1;29244,00;nao;94187358000119-1-000110/2025;https://pncp.gov.br/app/editais/94187358000119/2025/110;
2025-05-02;RS;São José Do Inhacorá;Municipio De Sao Jose Do Inhacora;Pregão - Eletrônico;1;29244,00;nao;94187358000119-1-000109/2025;https://pncp.gov.br/app/editais/94187358000119/2025/109;https://portaldecompraspublicas.com.br/processos/RS/Prefeitura-Municipal-de-Sao-Jose-do-Inhacora-631/RPE-4-2025-2025-385394
2025-05-01;AL;Pariconha;Municipio De Pariconha;Pregão - Eletrônico;2;164335,36;nao;35634435000172-1-000029/2025;https://pncp.gov.br/app/editais/35634435000172/2025/29;https://portal.licitanet.com.br/acesso-visitante/WkphamxwZWs=
2025-04-30;SP;Olímpia;Municipio Da Estancia Turistica De Olimpia;Dispensa;1;21798,00;nao;46596151000155-1-000627/2025;https://pncp.gov.br/app/editais/46596151000155/2025/627;
2025-04-29;ES;Jaguaré;Secretaria Municipal De Educacao E Cultura;Pregão - Eletrônico;1;23993,00;nao;30704185000186-1-000014/2025;https://pncp.gov.br/app/editais/30704185000186/2025/14;
2025-04-29;SP;São José Dos Campos;Fundacao De Ciencia Aplicacoes E Tecnologia Espaciais;Pregão - Eletrônico;2;1123000,00;nao;51619104000110-1-000029/2025;https://pncp.gov.br/app/editais/51619104000110/2025/29;https://bnccompras.com/Process/ProcessView?param1=[gkz]kUG8c9qMmAbHtqGDNxLjI61kDo2aaj12ndImib3as4ylZwPbkzFt3BJtTCDYGMLvJNwxIWTCASzqNu1T787Yeo1kUoU07FmzGus5FNXKbDg=
2025-04-29;ES;Vila Velha;Fundacao Estadual De  Inovacao Em Saude - Inova Capixaba;Dispensa;1;8042,28;nao;36901264000163-1-000257/2025;https://pncp.gov.br/app/editais/36901264000163/2025/257;https://portaldecompraspublicas.com.br/processos/ES/Fundacao-Inova-Capixaba-2904/DE-63020-2025-2025-384470
2025-04-28;PE;Ribeirão;Fundo Municipal De Saude De Ribeirao;Pregão - Eletrônico;1;708,31;nao;10395676000185-1-000019/2025;https://pncp.gov.br/app/editais/10395676000185/2025/19;https://bnccompras.com/Process/ProcessView?param1=[gkz]aIqyXy5EfEO3f_uQHmfI0buA1TAk3eWhYtHy061aKUW6iTOxCvMiUMnGQElc3KKR9v9HhF7K0vRKNXgPapTUO5TKtYlxbMl23m3kqfptxsM=
2025-04-28;MT;Cuiabá;Consorcio Intermunicipal De Saude Vale Do Rio Cuiaba - Cisvarc;Pregão - Eletrônico;1;273776,44;nao;36833348000107-1-000011/2025;https://pncp.gov.br/app/editais/36833348000107/2025/11;https://portal.licitanet.com.br/acesso-visitante/WkphaW1aaW8=
